baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
htrL	1218.41884828202	2.79510947128351	0.189853681655316	14.7224401808446	4.62659570016062e-49	1.12914638393364e-47
pdeG	228.041364607952	4.84661153207534	0.329540233265322	14.7071921508692	5.79630221218864e-49	1.40680417779805e-47
ycbJ	729.64521439346	-3.51023333801801	0.239152436602872	-14.6778071253649	8.94362983846391e-49	2.1587563670534e-47
ybcM	363.220641860904	4.2658828072272	0.291012052272586	14.6587839710206	1.18373985030881e-48	2.84162249311836e-47
fliA	7762.53823469115	-2.59820449343561	0.177410209643589	-14.6451802219011	1.44617289300016e-48	3.45273778203789e-47
ypjA	423.854059099291	3.95064803607765	0.269794108010288	14.6431961217144	1.48900851396748e-48	3.53579156857252e-47
gspA	180.288387947346	5.83209291920865	0.399901514640804	14.5838230306457	3.56008853381616e-48	8.40831662852386e-47
metH	693.068954090993	-2.53888097257988	0.174282583448293	-14.5676115326413	4.51399070645446e-48	1.06042573120077e-46
raiA	4773.118040454	-3.32291255949904	0.228213580797047	-14.5605381936237	5.00621156228488e-48	1.1698025209105e-46
napG	212.279603246873	-5.8780516456987	0.404062226138012	-14.5473921229424	6.06722805906707e-48	1.41022925203607e-46
mgsA	1394.67220364324	-3.59214372286116	0.24709504288209	-14.5374981260764	7.01084903079127e-48	1.62098209432979e-46
casC	195.01054960076	3.72027719527823	0.256595590016713	14.4986014570084	1.23643452133733e-47	2.84379939907585e-46
ycdU	220.372334051045	4.53895649200024	0.313548927241808	14.4760708701127	1.71631706138364e-47	3.9269691930512e-46
higB	221.499877142709	4.06495969949163	0.280888600461609	14.4717859422253	1.82666842456555e-47	4.15780020161474e-46
yhiM	161.095389876576	4.59533057345381	0.317841923015546	14.4579120647626	2.23474584348848e-47	5.06043221156953e-46
mdtI	362.599640704168	3.09179700356992	0.213999640565963	14.4476738156806	2.59296125874291e-47	5.84147631264494e-46
ycgV	326.200488097141	2.85884588371058	0.198069988151319	14.4335136806618	3.18436441915864e-47	7.13720045579791e-46
csgF	180.303630877019	5.82356313848042	0.404490327780512	14.3972865072819	5.38152277499417e-47	1.20005226144921e-45
lysT	1856.76220002948	3.84425019687656	0.267105873185922	14.3922338772414	5.78952628062915e-47	1.28451459347494e-45
flgF	892.76140526882	-3.67357027305302	0.255260881297532	-14.391434576186	5.85683230087465e-47	1.29291780390665e-45
yddA	248.570271467985	3.70519581767123	0.258700533302459	14.3223354446638	1.58699049224458e-46	3.48582461621522e-45
ynaA	153.926743973119	4.05590956192748	0.283376524305294	14.3127931005247	1.82052096547483e-46	3.97887990115967e-45
yhhI	167.727518921331	4.93623986097666	0.345525337052349	14.2861878179104	2.66820909645487e-46	5.80269433699318e-45
ccmA	284.732530753764	-3.692587298215	0.258781460272816	-14.2691338642349	3.40784822289813e-46	7.37471785378892e-45
yecR	899.376994943361	-3.78886486439938	0.265612814132208	-14.2646162489491	3.63586460520325e-46	7.82958490718524e-45
mdtJ	591.836670718257	3.45730283832284	0.242426372223367	14.2612489170004	3.81564145416661e-46	8.17664044300192e-45
gfcB	220.155266817903	3.61400465545306	0.253683566000591	14.2461126372082	4.73938891478587e-46	1.01068618944924e-44
yfbP	220.427948685028	4.08584644594348	0.287060984474875	14.2333743243367	5.68700905950717e-46	1.20690970040652e-44
bssR	337.503758510365	-3.4942506257247	0.246460305466147	-14.177742006429	1.25830534514227e-45	2.65756508712019e-44
relB	1181.53260661923	2.32980930534956	0.165270170231136	14.096974076394	3.96405823228573e-45	8.33210900212021e-44
deoD	2036.64351613982	-2.75014092230707	0.195201033215315	-14.0887621187617	4.45298794913165e-45	9.31522669549301e-44
nagB	1022.84084815605	-2.67458581783763	0.190738572426794	-14.022259807277	1.13928272778503e-44	2.37197584036002e-43
valZ	776.9835480229	3.21815286833392	0.229721178240295	14.00895160379	1.37418593468496e-44	2.84754660899578e-43
yaiS	171.872132938062	6.28267407206484	0.449049463449227	13.991051283764	1.76779301213955e-44	3.64596934381646e-43
yidF	293.868059139699	-3.63190477557072	0.261203899459245	-13.9044814533383	5.94964859836527e-44	1.22134608844012e-42
nemR	383.114887811183	2.55245002880577	0.183887420629939	13.8805037346323	8.31574701161722e-44	1.69911984288532e-42
feoB	4445.81192975847	-3.6938004953095	0.266408328134722	-13.8651840247335	1.02961701674646e-43	2.0940312752626e-42
yaiP	136.679753250071	4.50292477880321	0.324899719297851	13.8594295757922	1.11557252009026e-43	2.25839174228412e-42
srlB	691.462538158363	-9.33449600106276	0.674407960758217	-13.8410228588765	1.44140799836467e-43	2.90463547560367e-42
yjaA	206.031903263378	4.10987317711818	0.297559088885909	13.8119564504178	2.15887574164867e-43	4.33056672742584e-42
pflA	741.897589914313	-2.31517219193531	0.16803589910957	-13.7778427360077	3.46471525734667e-43	6.91840642069269e-42
galM	2458.91480981212	-2.81750461074753	0.20475508071855	-13.7603648264064	4.41294342548024e-43	8.77197306250439e-42
gutM	235.141307492391	-6.01974799649171	0.437814909680989	-13.7495271709179	5.12634571437422e-43	1.01441606861468e-41
gntK	631.368646654568	-3.56089355429865	0.259773308727898	-13.707696035964	9.13115298854556e-43	1.79879619186909e-41
gapA	33048.0632820715	-2.84147273368828	0.207324083208682	-13.7054638791201	9.41635783666311e-43	1.84669910609201e-41
copA	728.705363191812	-3.43255406869128	0.250812227390656	-13.6857525025878	1.23521724913195e-42	2.41169305574962e-41
rbsA	852.09985588988	-3.89160186539807	0.284422058236073	-13.6824896406874	1.29192353778894e-42	2.51124783252513e-41
yccE	251.405583344633	5.14210495981713	0.376018171502715	13.6751501643319	1.42911956748362e-42	2.76569262553107e-41
yjjQ	132.602933011116	5.16725169635508	0.377876502266571	13.6744456597883	1.44302774438678e-42	2.78036003556629e-41
flgB	2419.35754157402	-3.23266695763313	0.237013349303254	-13.6391767262737	2.34189448532399e-42	4.4925512987023e-41
napD	185.192708519911	-6.20607938998908	0.455528457850658	-13.6239114879266	2.88682443454844e-42	5.51383466998751e-41
ypjB	178.965443927047	6.45199886783277	0.474285991709702	13.6036041135743	3.81176662805397e-42	7.24895705499615e-41
guaB	1853.26904241383	2.0656157017209	0.152187893645875	13.5727990724897	5.80616915253701e-42	1.09941815030582e-40
pepE	203.27164533164	-4.09045876207876	0.301386804732173	-13.5721229259315	5.85998628325209e-42	1.10484634087238e-40
insJ	857.83133603084	4.22137782122104	0.311807988351277	13.5383889410342	9.28019270006578e-42	1.74221737313628e-40
leuO	232.881831812746	3.55294585599522	0.262902731050297	13.5142980135702	1.28778212919089e-41	2.40733059299385e-40
csgE	156.469033632802	6.14362404134026	0.456047803803026	13.4714474888553	2.30306296707238e-41	4.28701509082583e-40
