Name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
dgcM	498.473234029225	-0.409123994686338	0.232967115779869	-1.75614482463233	0.0790636830130203	0.136210087658497
sokB	155.565525955311	-0.621804958957335	0.354108799907935	-1.75597149553752	0.0790932757982314	0.136210087658497
yehK	182.344403168878	0.300507665489423	0.171141783676272	1.75589887539011	0.0791056770430473	0.136210087658497
cysH	77.2465808825604	0.409489383273196	0.233250435734734	1.75557821353394	0.0791604549469051	0.136251185242467
elyC	87.0228369378994	-0.499184392571245	0.284528066926808	-1.75442935371172	0.0793569652557165	0.136536105717095
rpoB	19346.4983057752	-0.271023570508672	0.154511735333701	-1.75406463414148	0.0794194327392944	0.136590269026457
ygiF	433.314706176544	-0.296753303828469	0.169340923469059	-1.75240159170792	0.0797047779484117	0.137027558969032
prlF	1364.85672167035	0.278152749793763	0.158744988725137	1.75219861759149	0.0797396612862081	0.137034084580743
ygjQ	60.7582790336395	0.444810334999442	0.254008514680896	1.75116308820689	0.0799178216192364	0.137286733319405
allD	44.7341628020315	0.449261879462681	0.256616413632407	1.75071373301254	0.0799952326788606	0.137366180618784
yafO	470.157273684209	0.260320962671429	0.148768548981334	1.74983868871432	0.0801461526671716	0.137571744920908
yoaG	57.595002478981	0.440637100121833	0.251996292275619	1.74858564839473	0.0803626688537871	0.137889701949199
zntB	632.841868466745	-0.290732024196083	0.166287951144326	-1.7483649428319	0.0804008543300279	0.1379015431466
minC	1626.06357364542	-0.450678789919485	0.258086255086656	-1.74623321094013	0.0807704361045142	0.138481556728393
baeS	249.434940396238	-0.541934811544477	0.310461348554238	-1.745579003854	0.0808841332804674	0.138602925906591
atoD	37.6214630091135	0.493580161417617	0.282778749473637	1.74546412110657	0.0809041126038246	0.138602925906591
rplW	25447.4074827793	0.315735456979348	0.181071906872557	1.74370205976552	0.0812110560300513	0.139074722214633
dcrB	1796.62776625417	-0.247468298564461	0.142235877686004	-1.73984442315437	0.0818863397268384	0.140176693404234
ydiY	760.217328194229	0.473149684012012	0.27208154428698	1.73899955343151	0.0820348414738065	0.140376390223812
ppiA	594.703640126482	0.275208681975367	0.158327168749446	1.73822777321868	0.0821706871861235	0.140554283708356
yqhD	275.865311055501	-0.361822999972644	0.20820971576222	-1.73778153746607	0.0822493150374148	0.140634205075611
insH-6	440.39077983877	-0.307132781541232	0.17678082952842	-1.73736474911074	0.0823228092747542	0.140685910613153
nimT	87.6211964742985	0.375883274478761	0.216367065243941	1.73724810684554	0.082343386883379	0.140685910613153
ydaU	79.7461764410879	0.474981469338785	0.273563850146858	1.73627279000423	0.0825156120421429	0.14092553966748
zupT	398.962254299304	0.313499093067847	0.180699438888331	1.73492012480229	0.0827549540246094	0.141279565197706
hisP	135.991331951246	-0.455315903623623	0.262472108078107	-1.73472109839621	0.0827902173993746	0.141285047733815
dapA	4946.02845026142	-0.267452329245699	0.154265021065126	-1.73371985041761	0.0829678026686396	0.141533310434738
aroA	498.265578642739	-0.280127178393422	0.161630240137879	-1.73313594135887	0.0830715094793452	0.141655401851046
ygjK	100.426375730289	-0.388676872872964	0.224291212000114	-1.73291173295174	0.083111358540669	0.141668549283553
chiX	7301.69288843679	-0.375022590269056	0.216476018944922	-1.73239785218183	0.0832027501458938	0.141754213345006
ybiA	121.112049448701	0.365491382925875	0.211003241983125	1.73216003456054	0.0832450725911512	0.141754213345006
lysP	1276.16096279755	-0.270020032535514	0.155892889073703	-1.7320869100569	0.0832580894623915	0.141754213345006
pflA	2138.29336467845	-0.291275584696856	0.168276210369201	-1.73093739190936	0.083462931620943	0.142048109106223
mpaA	292.86807904327	-0.318960036082914	0.18442335659844	-1.72949913701772	0.0837198008129205	0.142391641407371
gspO	134.054366986049	0.384097171205764	0.22209266684556	1.72944553578106	0.0837293862359135	0.142391641407371
kefG	66.8852558353371	-0.404669643398421	0.23408730437052	-1.72871247540148	0.0838605674472332	0.142559730546627
emrA	844.51549459958	-0.275533253586297	0.159435376355258	-1.72818141045653	0.083955705457218	0.142666441655905
malS	205.768582195218	-0.305757284967239	0.17697946993227	-1.72764267564058	0.0840523067490644	0.14277555612712
dppC	29.3563278093257	-0.542783493541847	0.314268713308669	-1.72713181604156	0.0841439927875436	0.142876240449727
ydfB	117.668378335399	0.38407843732913	0.222543683728908	1.72585638420993	0.0843732530635193	0.143210357914514
radD	174.699809245887	-0.300584598515832	0.174266414062319	-1.72485673807657	0.0845532936755512	0.143460707668141
yiaB	342.789014374386	0.386218887970666	0.224013466342129	1.72408781613515	0.0846919912495931	0.143640745451407
yqjK	192.998509549448	-0.476472766732946	0.276686495198172	-1.72206730361625	0.0850573271933208	0.144204883949292
tehA	452.596708643145	-0.397133426474039	0.230947697463748	-1.71958166647831	0.0855085110844566	0.144914077993189
yciW	107.499594962918	0.392053339510185	0.22812122689959	1.71861840670685	0.0856838778147272	0.145155470179599
yjhI	275.694339249133	-0.415856688892758	0.242137020384912	-1.71744365331536	0.0858981414022562	0.145409408514058
ffh	3414.60779113784	-0.250662718106708	0.145951806840132	-1.71743484053795	0.0858997504016801	0.145409408514058
yoaH	1297.7497865686	-0.229864204315091	0.134113203291096	-1.71395655814861	0.0865367045328558	0.146431398687458
zwf	1829.09922144157	-0.240740136138731	0.140510414044369	-1.71332593228792	0.0866525941633242	0.146571233719084
glmY	3351.01002612654	0.313101672207493	0.182777196228692	1.71302371777132	0.0867081762934659	0.146608991600152
kup	1078.88545247197	0.238272963890382	0.139118052075831	1.71273936297285	0.0867605000140679	0.146641213213961
hipB	590.928576835398	0.25089986138885	0.146619011212144	1.71123689427847	0.0870373904758633	0.147052823770642
wbbJ	7334.73606247698	0.328881486532997	0.192273908643394	1.71048421937979	0.0871763691035281	0.147231201152625
bcsA	212.611233829029	0.378060802323949	0.221357253493807	1.70792145437658	0.0876509177044449	0.147975965239829
yhjV	1071.82513386906	0.357882012618853	0.209591914531706	1.70751821900417	0.0877257744016688	0.148045640720734
ldtD	926.959303044001	-0.215665119522867	0.126333846855976	-1.70710482495424	0.0878025704817761	0.148118534513459
yafL	93.4460211859039	0.350482925819603	0.205438174400799	1.70602628670088	0.0880031854873367	0.148400168947276
yhaB	3647.42871689618	0.636342238797653	0.373192449729221	1.70513159968635	0.0881698833382899	0.148624415202746
